,country,city,yelp,four_square,google
"45.08333, 148.06667",Russia,Bukhta Lyubava,0.0,2.0,0.0
"-27.31221, 138.81117",Australia,Lake Milkapurda,0.0,0.0,0.0
"56.13308, -125.01998",Canada,Wasi Creek,0.0,0.0,0.0
"21.23615, -13.27971",Mauritania,Bedmeïjât,0.0,0.0,0.0
"21.329913, 35.15696",Sudan,Khor Mashatkwan,0.0,0.0,0.0
"61.266667, 96.55",Russia,Turama,0.0,0.0,0.0
"61.03333, 141.95",Russia,Malemandzha,0.0,0.0,0.0
"60.9791, 46.4732",Russia,Krasavino,0.0,26.0,0.0
"15.638889, -171.065278",,Tanager Seamount,0.0,0.0,0.0
"-18.81667, 123.95",Australia,Matches Spring,0.0,0.0,0.0
"34.88206, -116.02301",United States,Kelso Dunes Wilderness,0.0,1.0,0.0
"70, 152.75",Russia,Khrebet Syrya-Takha,0.0,0.0,0.0
"51.575628, 114.784189",Russia,Pereval Zugalovskiy,0.0,0.0,0.0
"20.5, -3",Mali,’Erg el Mrâyer,0.0,0.0,0.0
"-17.266667, -51.383333",Brazil,Ribeirao das Pombas,0.0,1.0,0.0
"35.903315, 136.170975",Japan,Takefu,4.0,30.0,0.0
"-25.78102, -69.29552",Chile,Pique de La Exploradora,0.0,0.0,0.0
"-33.4, 130.38333",,Great Australian Bight Commonwealth Marine Reserve,0.0,0.0,0.0
"37.41825, 49.19796",Iran,Ziabar (Gaskar),0.0,30.0,0.0
"-18.76535, -174.12373",Tonga,Totokamaka,0.0,4.0,0.0
"69.15833, -145.77222",United States,Franklin Creek,0.0,0.0,0.0
"46.516667, 26.116667",Romania,Ciugheș,0.0,30.0,0.0
"50.40746, 35.83734",Ukraine,Perovs’ke,0.0,5.0,0.0
"45.3, 97.233333",Mongolia,Hara Chuluutayn Salaata Uula,0.0,0.0,0.0
"26.833333, 9.466667",Algeria,Hassi Sougoued,0.0,0.0,0.0
"21.59908, -81.50812",Cuba,Cocodrilo,0.0,30.0,0.0
"11.10531, -16.13823",Guinea-Bissau,Ancagumé,0.0,1.0,0.0
"41.808904, 33.231354",Turkey,Şenpazar,0.0,30.0,0.0
"29.7054, 83.4154",China,Xungrurisur,0.0,0.0,0.0
"70.98667, 83.43333",Russia,Yakovlevka,0.0,0.0,0.0
"28.56429, 27.84515",Egypt,Qabr ash Sharīf,0.0,0.0,0.0
"53.4004, 47.7688",Russia,Yedelevo,0.0,1.0,0.0
"52.89661, 70.52953",Kazakhstan,Karlovka,0.0,17.0,0.0
"49.19068, 7.79192",Germany,Dahn,7.0,30.0,0.0
"-7.48333, -34.95",Brazil,Caaporã,0.0,30.0,0.0
"43.16667, 62.88333",Uzbekistan,Oqbo‘g‘ot,0.0,0.0,0.0
"37.50196, -98.08145",United States,Basil,0.0,4.0,0.0
"31.69461, -93.31823",United States,Adois (historical),0.0,23.0,0.0
"47.35563, 30.81622",Ukraine,Yasnopillya,0.0,0.0,0.0
"-27.46667, -56.71667",Argentina,Puerto Mburajhe,0.0,30.0,0.0
"19.833333, 149",,Vogt Guyot,0.0,0.0,0.0
"42.15, 95.98333",China,Yuefeiquan,0.0,0.0,0.0
"16.52066, 81.2273",India,Kaikalur,0.0,17.0,0.0
"64.241996, 54.989988",Russia,Lem’yu,0.0,6.0,0.0
"61.10053, -93.98347",Canada,Arviat,0.0,3.0,0.0
"55.26306, 55.81972",Russia,Zuyevo,0.0,10.0,0.0
"0.14926, 21.5374",Democratic Republic of the Congo,Likake,0.0,0.0,0.0
"22.98363, 13.79166",Libya,Djebel Ati,0.0,0.0,0.0
"53.37585, -100.25892",Canada,Kaniawakak Island,0.0,0.0,0.0
"5.03225, 118.324",Malaysia,Lahad Datu,3.0,30.0,0.0
"9.71434, 78.68649",India,Pandimagarandai,0.0,1.0,0.0
"-17.6625, -150.61667",France,Lac Roto Rahi,0.0,0.0,0.0
"26.29661, 95.39828",Myanmar,Lahe,0.0,0.0,0.0
"5.75, -57.95",Guyana,Maripaka Creek,0.0,0.0,0.0
"63.08333, -50.53333",Greenland,Savssarssuit,0.0,0.0,0.0
"17.753056, -0.5275",Mali,Adrar Tabarbarout,0.0,0.0,0.0
"56.13362, -74.29916",Canada,Île Mantunikw,0.0,0.0,0.0
"-86.58333, -152.5",,"Farley, Mount",0.0,0.0,0.0
"49.36676, -105.25109",Canada,Roncott,0.0,6.0,0.0
"27.03963, 83.64453",India,Pakri Bishunpur,0.0,1.0,0.0
"-21.16667, -44.86667",Brazil,Macaia,0.0,30.0,0.0
"68.3455, 161.5622",Russia,Anyuysk,0.0,1.0,0.0
"61.85021, -107.66749",Canada,Booth Lake,0.0,0.0,0.0
"-24.73333, 45.41667",Madagascar,Iantsatra,0.0,0.0,0.0
"-69.45, -35.7",,"Lisjanskogo, shel'fovyj lednik",0.0,0.0,0.0
"-20, 159",,Recifs et Iles Chesterfield,0.0,0.0,0.0
"32.60928, -103.14742",United States,Warren,0.0,30.0,0.0
"33.36079, -1.03087",Algeria,Oued Magrouna Cherguia,0.0,0.0,0.0
"34.29162, 132.94277",Japan,Takehara,0.0,30.0,0.0
"-43.607459, 172.692363",New Zealand,Rapaki,5.0,30.0,0.0
"-18.83333, -65.31667",Bolivia,Pocpo,0.0,0.0,0.0
"45.59444, -106.27085",United States,Ashland,3.0,22.0,0.0
"12.20468, 16.81903",Chad,Omo,0.0,0.0,0.0
"36.35781, 25.47406",Greece,Emporeio,0.0,30.0,0.0
"48.45, 112.11667",Mongolia,Shibeete,0.0,0.0,0.0
"23.3385, 12.51922",Niger,Edeyene de Mourzouk,0.0,0.0,0.0
"47.51474, -104.19605",United States,Sears (historical),0.0,1.0,0.0
"31.40196, 62.26177",Afghanistan,Kadah,0.0,0.0,0.0
"47.34828, -112.33919",United States,Upper Ellis Place,0.0,0.0,0.0
"21.25912, 5.60451",Algeria,Tedjerine,0.0,0.0,0.0
"42.47047, 69.93565",Kazakhstan,Pritraktovoye,0.0,18.0,0.0
"-38.45823, 175.1102",New Zealand,Te Mapara,0.0,14.0,0.0
"-20.13333, -41.7",Brazil,Socapo,0.0,30.0,0.0
"1.333333, 115.566667",Indonesia,Punan,0.0,0.0,0.0
"74.10152, -92.71694",Canada,Irvine Bay,0.0,0.0,0.0
"-30.03394, 139.6301",Australia,Mount Neil,0.0,0.0,0.0
"36.95, -3.06667",Spain,Ugíjar,1.0,30.0,0.0
"46.53333, 117.85",China,Hu-ho-wen-to-erh,0.0,1.0,0.0
"43.21839, 56.91822",Uzbekistan,Boyshag‘ir Quduq,0.0,0.0,0.0
"44.71487, -118.45911",United States,Diffin Post Office (historical),0.0,1.0,0.0
"41.99395, -82.53496",Canada,Point Pelee,7.0,30.0,0.0
"-18.41552, 127.9207",Australia,Linga Community,0.0,0.0,0.0
"8.46972, -72.59306",Colombia,El Cortico,0.0,1.0,0.0
"-17.23202, 145.63165",Australia,Yungaburra,1.0,30.0,0.0
"35.15896, -85.15218",United States,Middle Valley,9.0,30.0,0.0
"69.23139, 168.15417",Russia,Ozëra Gusinyye,0.0,0.0,0.0
"-32.01667, 127.91667",Australia,Windabijee Rockhole,0.0,0.0,0.0
"60.4078, -130.89376",Canada,West Blank Creek,0.0,0.0,0.0
"33.8544, 46.2712",Iran,Sharak-e Nobovvat,0.0,3.0,0.0
"-20.25, -65.166667",Bolivia,Palcoyo,0.0,0.0,0.0
"21.17499, 42.18088",Saudi Arabia,Ḩarrat Nawāşīf,0.0,0.0,0.0
"9.8904, 3.01845",Benin,Weragando,0.0,1.0,0.0
"29.066667, -88.133333",,Sounder Canyon,0.0,0.0,0.0
"3.2675, -75.40972",Colombia,Guamalito,0.0,0.0,0.0
"4.8, 38.06667",Ethiopia,Ade,0.0,0.0,0.0
"-47.433333, -70.683333",Argentina,Estancia A. Blas,0.0,0.0,0.0
"-0.33323, 127.58123",Indonesia,Timlonga,0.0,0.0,0.0
"22.35806, 34.58146",Egypt,Jabal Umm aţ Ţuyūr at Taḩtānī,0.0,0.0,0.0
"-12.43333, -73.06667",Peru,Río Coshirení,0.0,2.0,0.0
"-23.0483, 150.8867",Australia,The Keppels,0.0,4.0,0.0
"-0.04961, 13.86387",Gabon,Kelle,0.0,0.0,0.0
"31.69224, 2.2074",Algeria,Arich et Tseldj,0.0,0.0,0.0
"66.67056, -147.37917",United States,Twentynine Mile Ridge,0.0,0.0,0.0
"44.48342, -78.41624",Canada,Kawartha Hideaway,0.0,30.0,0.0
"74.596273, 107.242136",Russia,Ozero Nerada-Kunchsalak,0.0,0.0,0.0
"5.383333, -55.4",Suriname,Moerjee Kreek,0.0,2.0,0.0
"48.564722, 87.420556",China,Hom,0.0,16.0,0.0
"34.209508, 65.811757",Afghanistan,Saylbītū,0.0,0.0,0.0
"-0.58333, 10.21667",Gabon,Viafe,0.0,1.0,0.0
"66.866667, 15.083333",Norway,Steinfjellet,0.0,4.0,0.0
"41.36667, 55",Turkmenistan,Babashi,0.0,0.0,0.0
"70.98432, -157.85431",United States,Peard Bay (historical),0.0,0.0,0.0
"37.82359, 24.92838",Greece,Andros,0.0,30.0,0.0
"-54.26517, -71.56086",Chile,Ensenada López,0.0,0.0,0.0
"20.23306, -155.77639",United States,Kapaau,16.0,30.0,0.0
"-20.137433, 125.191757",Australia,Tina Spring,0.0,0.0,0.0
"60.01774, -65.1244",Canada,Niunngualiup Kangirsukulua Inlet,0.0,0.0,0.0
"52.22583, 58.99222",Russia,Maksim Gor'kiy,0.0,2.0,0.0
"52.0266, 102.0658",Russia,Bilyutskiye Gol’tsy,0.0,0.0,0.0
"46.6025, -83.33389",Canada,Assinamish Lake,0.0,1.0,0.0
"66.48333, 21.73333",Sweden,Nakirbäcken,0.0,0.0,0.0
"66.7884, 39.70162",Russia,Sosnovskoye Ozero,0.0,0.0,0.0
"32.03894, 13.84135",Libya,Wādī Kūrah,0.0,0.0,0.0
"57.61678, -106.33395",Canada,Rowles Lake,0.0,0.0,0.0
"41.59009, -74.3821",United States,Burlingham,8.0,30.0,0.0
"-1.7875, -46.30333",Brazil,Boa Vista do Gurupi,0.0,30.0,0.0
"45.79237, -97.75288",United States,Britton,2.0,30.0,0.0
"33.297591, 61.595779",Afghanistan,Gul Gandī,0.0,0.0,0.0
"25.76235, 72.54399",India,Samdari,0.0,1.0,0.0
"40.86667, 52.93333",Turkmenistan,Kolodets Chungul,0.0,0.0,0.0
"37.66319, 101.79812",China,Erlangshanzhang Shan,0.0,0.0,0.0
"-43.22784, -70.53501",Argentina,Estancia Los Menucos,0.0,0.0,0.0
"35.01883, 39.18501",Syria,Al Khuwaylīyah,0.0,0.0,0.0
"55.11195, 36.60885",Russia,Obninsk,0.0,30.0,0.0
"-10.258332, 161.725551",Solomon Islands,Alangakaula,0.0,0.0,0.0
"31.96578, -94.05499",United States,Joaquin,3.0,30.0,0.0
"36.05319, 54.01293",Iran,Kūh-e Sabāneh,0.0,2.0,0.0
"80.401253, 53.224414",Russia,Mys L’yuys Pul,0.0,0.0,0.0
"-9.59333, 123.7225",Indonesia,Naisano Dua,0.0,0.0,0.0
"18.40919, 31.77104",Sudan,El Kuru,0.0,12.0,0.0
